City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,akrehamn,59.2667,5.1833,10.23,81,100,5.14,NO,1715403949
318,honcho,35.6931,139.9833,27.4,53,40,12.86,JP,1715403950
319,cherepovets,59.1333,37.9,2.9,60,40,2.0,RU,1715403687
320,mandalgovi,45.7625,106.2708,14.66,16,81,7.67,MN,1715403950
321,mount isa,-20.7333,139.5,28.87,45,40,4.12,AU,1715403950
322,behompy,-23.2496,43.8557,25.96,49,0,0.99,MG,1715403950
323,jiangyou,31.7667,104.7167,20.0,73,100,4.13,CN,1715403828
324,n'zeto,-7.2312,12.8666,25.53,92,91,2.82,AO,1715403857
325,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715403950
326,xique xique,-10.8217,-42.7311,22.99,65,4,4.39,BR,1715403951
327,hamilton,39.1834,-84.5333,13.88,79,100,2.06,US,1715403788
328,bikenibeu village,1.3673,173.1241,30.98,74,40,3.09,KI,1715403951
329,trabzon,40.9167,39.8333,13.05,88,75,4.12,TR,1715403951
330,al kharijah,25.4514,30.5464,26.95,22,12,7.39,EG,1715403951
331,la passe,45.5549,-0.8967,14.43,88,7,3.59,FR,1715403951
332,nirgua,10.1553,-68.5663,20.49,97,100,1.98,VE,1715403951
333,zaragoza,41.6561,-0.8773,16.67,55,0,0.45,ES,1715403905
334,dhaurahra,28.0,81.0833,35.96,30,12,4.11,IN,1715403951
335,brookings,44.3114,-96.7984,12.84,70,0,0.0,US,1715403819
336,sinop,41.7711,34.8709,12.24,85,100,1.57,TR,1715403952
337,andorra,42.5,1.5,13.45,78,7,1.05,AD,1715403952
338,lenino,45.2986,35.7771,14.1,54,75,7.42,UA,1715403952
339,chegdomyn,51.1167,133.0167,14.45,27,100,4.3,RU,1715403952
340,al jawf,29.5,38.75,27.67,12,41,4.18,SA,1715403952
341,shihezi,44.3,86.0333,31.53,12,0,1.34,CN,1715403841
342,norfolk,42.1668,-71.2495,8.11,84,0,0.0,US,1715403952
343,alice springs,-23.7,133.8833,21.75,37,0,7.2,AU,1715403757
344,manturovo,58.3353,44.7619,-0.12,61,100,4.45,RU,1715403953
345,soio,-6.1349,12.3689,26.65,90,100,3.74,AO,1715403953
346,saint-pierre,-21.3393,55.4781,25.82,47,0,2.57,RE,1715403953
347,kununurra,-15.7667,128.7333,31.99,45,40,5.14,AU,1715403953
348,lagdo,9.05,13.7333,27.55,62,89,2.13,CM,1715403953
349,howrah,22.5892,88.3103,33.0,70,75,4.12,IN,1715403912
350,upper hutt,-41.1383,175.0502,11.35,83,12,0.63,NZ,1715403953
351,tazacorte,28.629,-17.9293,19.54,82,100,7.2,ES,1715403954
352,svetlyy,54.675,20.1347,8.03,67,100,2.74,RU,1715403954
353,changyon,38.2508,125.0961,15.01,83,100,3.02,KP,1715403954
354,quellon,-43.1167,-73.6167,3.39,95,9,0.57,CL,1715403954
355,badger,64.8,-147.5333,10.55,28,0,3.6,US,1715403954
356,papao,-17.75,-149.55,27.82,78,11,5.59,PF,1715403954
357,tucuma,-0.1833,-50.05,25.2,93,80,1.2,BR,1715403675
358,tobelo,1.7284,128.0095,29.06,73,68,1.85,ID,1715403954
359,keflavik,64.0049,-22.5624,7.95,100,75,5.14,IS,1715403955
360,kalanchak,46.2562,33.2907,13.91,39,33,3.7,UA,1715403955
361,shiyan,32.6475,110.7781,23.01,65,100,3.05,CN,1715403841
